aa,Afar,Cushitic,Latn
ab,Abkhaz,Abkhaz-Abaza,"Cyrl, Geor, Latn"
ae,Avestan,Central Iranian,"Avst, Gujr"
af,Afrikaans,West Germanic,"Latn, Arab"
ak,Akan,Central Tano,Latn
am,Amharic,Ethiopian Semitic,Ethi
an,Aragonese,West Iberian,Latn
ar,Arabic,Arabic,"Arab, Hebr, Brai"
as,Assamese,Eastern Indo-Aryan,as-Beng
av,Avar,Northeast Caucasian,Cyrl
ay,Aymara,Aymaran,Latn
az,Azerbaijani,Oghuz,"Latn, Cyrl, fa-Arab"
ba,Bashkir,Kipchak-Bulgar,Cyrl
be,Belarusian,East Slavic,Cyrl
bg,Bulgarian,South Slavic,Cyrl
bh,Bihari,Eastern Indo-Aryan,Deva
bi,Bislama,creole or pidgin,Latn
bm,Bambara,East Manding,Latn
bn,Bengali,Eastern Indo-Aryan,"Beng, Newa"
bo,Tibetan,Tibetic,Tibt
br,Breton,Brythonic,Latn
ca,Catalan,Romance,Latn
ce,Chechen,Vainakh,Cyrl
ch,Chamorro,Sunda-Sulawesi,Latn
co,Corsican,Italo-Dalmatian,Latn
cr,Cree,Algonquian,"Cans, Latn"
cs,Czech,West Slavic,Latn
cu,Old Church Slavonic,South Slavic,"Cyrs, Glag"
cv,Chuvash,Oghur,Cyrl
cy,Welsh,Brythonic,Latn
da,Danish,North Germanic,Latn
de,German,West Germanic,"Latn, Latf"
dv,Dhivehi,Insular Indo-Aryan,Thaa
dz,Dzongkha,Tibetic,Tibt
ee,Ewe,Gbe,Latn
el,Greek,Hellenic,"Grek, Brai"
en,English,West Germanic,"Latn, Brai, Shaw, Dsrt"
eo,Esperanto,constructed,Latn
es,Spanish,West Iberian,"Latn, Brai"
et,Estonian,Finnic,Latn
eu,Basque,Vasconic,Latn
fa,Persian,Southwestern Iranian,fa-Arab
ff,Fula,Fula-Wolof,"Latn, Adlm"
fi,Finnish,Finnic,Latn
fj,Fijian,Central-Eastern Oceanic,Latn
fo,Faroese,North Germanic,Latn
fr,French,Oïl,"Latn, Brai"
fy,West Frisian,Frisian,Latn
ga,Irish,Goidelic,Latn
gd,Scottish Gaelic,Goidelic,Latn
gl,Galician,West Iberian,Latn
gn,Guaraní,Tupi-Guarani,Latn
gu,Gujarati,Western Indo-Aryan,Gujr
gv,Manx,Goidelic,Latn
ha,Hausa,West Chadic,"Latn, Arab"
he,Hebrew,Canaanite,"Hebr, Phnx, Brai"
hi,Hindi,Hindustani,"Deva, Kthi, Newa"
ho,Hiri Motu,creole or pidgin,Latn
ht,Haitian Creole,creole or pidgin,Latn
hu,Hungarian,Ugric,"Latn, Hung"
hy,Armenian,Armenian,"Armn, Brai"
hz,Herero,Southwest Bantu,Latn
ia,Interlingua,constructed,Latn
id,Indonesian,Malayic,Latn
ie,Interlingue,constructed,Latn
ig,Igbo,Igboid,Latn
ii,Sichuan Yi,Loloish,Yiii
ik,Inupiaq,Inuit,Latn
io,Ido,constructed,Latn
is,Icelandic,North Germanic,Latn
it,Italian,Italo-Dalmatian,Latn
iu,Inuktitut,Inuit,"Cans, Latn"
ja,Japanese,Japonic,"Jpan, Brai"
jv,Javanese,Sunda-Sulawesi,"Latn, Java"
ka,Georgian,Georgian-Zan,"Geor, Geok, Hebr"
kg,Kongo,Kongo,Latn
ki,Kikuyu,Kikuyu-Kamba,Latn
kj,Kwanyama,Ovambo,Latn
kk,Kazakh,Kipchak-Nogai,"Cyrl, Latn, kk-Arab"
kl,Greenlandic,Inuit,Latn
km,Khmer,Khmeric,Khmr
kn,Kannada,Dravidian,Knda
ko,Korean,Korean,"Kore, Brai"
kr,Kanuri,Saharan,"Latn, Arab"
ks,Kashmiri,Dardic,"ks-Arab, Deva, Shrd, Latn"
kw,Cornish,Brythonic,Latn
ky,Kyrgyz,Kipchak,"Cyrl, Latn, Arab"
la,Latin,Italic,Latn
lb,Luxembourgish,West Germanic,Latn
lg,Luganda,Nyoro-Ganda,Latn
li,Limburgish,West Germanic,Latn
ln,Lingala,Bangi-Moi,Latn
lo,Lao,Southwestern Tai,Laoo
lt,Lithuanian,Baltic,Latn
lu,Luba-Katanga,Luba,Latn
lv,Latvian,Baltic,Latn
mg,Malagasy,East Barito,Latn
mh,Marshallese,Micronesian,Latn
mi,Maori,Eastern Polynesian,Latn
mk,Macedonian,South Slavic,Cyrl
ml,Malayalam,Dravidian,Mlym
mn,Mongolian,Mongolic,"Cyrl, Mong, Soyo, Zanb"
mr,Marathi,Southern Indo-Aryan,"Deva, Modi"
ms,Malay,Malayic,"Latn, ms-Arab"
mt,Maltese,Arabic,Latn
my,Burmese,Burmish,Mymr
na,Nauruan,Micronesian,Latn
nb,Norwegian Bokmål,North Germanic,Latn
nd,Northern Ndebele,Nguni,Latn
ne,Nepali,Pahari,"Deva, Newa"
ng,Ndonga,Ovambo,Latn
nl,Dutch,West Germanic,Latn
nn,Norwegian Nynorsk,North Germanic,Latn
no,Norwegian,North Germanic,Latn
nr,Southern Ndebele,Nguni,Latn
nv,Navajo,Apachean,Latn
ny,Chichewa,Nyasa,Latn
oc,Occitan,Romance,"Latn, Hebr"
